Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Circuit","Contact Timing","Switch Function","Current Rating","Voltage Rating - AC","Voltage Rating - DC","Actuator Type","Actuator Length","Contact Material","Contact Finish","Mounting Type","Termination Style","Features"
http://www.nkkswitches.com/pdf/Aslides.pdf,"//media.digikey.com/photos/NKK%20Switches%20Photos/AS12AH-RO,%20AS13AH-RO.jpg",360-2122-ND,AS12AH,NKK Switches,SWITCH SLIDE SPDT 0.4VA 28V,1950,0,"4.19000","0","1","Tray","AS","Active","SPDT","Non-Shorting (BBM)","On-On","0.4VA (AC/DC)","28V","28V","Standard","2.50mm","Phosphor Bronze","Gold","Through Hole, Right Angle","PC Pin","Epoxy Sealed Terminals"
http://www.nkkswitches.com/pdf/Aslides.pdf,//media.digikey.com/Photos/NKK%20Switches%20Photos/AS12CV.jpg,360-3344-ND,AS12CV,NKK Switches,SWITCH SLIDE SPDT 0.4VA 28V,205,0,"4.19000","0","1","Tray","AS","Active","SPDT","Non-Shorting (BBM)","On-On","0.4VA (AC/DC)","28V","28V","Standard","3.80mm","Phosphor Bronze","Gold","Through Hole, Right Angle, Vertical","PC Pin","Epoxy Sealed Terminals"
http://www.nkkswitches.com/pdf/Aslides.pdf,"//media.digikey.com/photos/NKK%20Switches%20Photos/AS12AV-RO,%20AS13AV-RO.jpg",360-2123-ND,AS12AV,NKK Switches,SWITCH SLIDE SPDT 0.4VA 28V,1183,0,"4.19000","0","1","Tray","AS","Active","SPDT","Non-Shorting (BBM)","On-On","0.4VA (AC/DC)","28V","28V","Standard","2.50mm","Phosphor Bronze","Gold","Through Hole, Right Angle, Vertical","PC Pin","Epoxy Sealed Terminals"
http://www.nkkswitches.com/pdf/Aslides.pdf,//media.digikey.com/Photos/NKK%20Switches%20Photos/MFG_AS12CH-RO.jpg,360-2745-ND,AS12CH,NKK Switches,SWITCH SLIDE SPDT 0.4VA 28V,101,0,"4.19000","0","1","Tray","AS","Active","SPDT","Non-Shorting (BBM)","On-On","0.4VA (AC/DC)","28V","28V","Standard","3.80mm","Phosphor Bronze","Gold","Through Hole, Right Angle","PC Pin","Epoxy Sealed Terminals"
http://www.nkkswitches.com/pdf/Aslides.pdf,//media.digikey.com/Photos/NKK%20Switches%20Photos/MFG_AS12BV.jpg,AS12BV-ND,AS12BV,NKK Switches,SWITCH SLIDE SPDT 0.4VA 28V,388,0,"4.19000","0","1","Tray","AS","Active","SPDT","Non-Shorting (BBM)","On-On","0.4VA (AC/DC)","28V","28V","Flush","Flush","Phosphor Bronze","Gold","Through Hole, Right Angle, Vertical","PC Pin","Epoxy Sealed Terminals"
http://www.nkkswitches.com/pdf/Aslides.pdf,//media.digikey.com/Photos/NKK%20Switches%20Photos/AS12BH.jpg,360-2611-ND,AS12BH,NKK Switches,SWITCH SLIDE SPDT 0.4VA 28V,1,832,"4.19000","0","1","Tray","AS","Active","SPDT","Non-Shorting (BBM)","On-On","0.4VA (AC/DC)","28V","28V","Flush","Flush","Phosphor Bronze","Gold","Through Hole, Right Angle","PC Pin","Epoxy Sealed Terminals"
http://www.nkkswitches.com/pdf/Aslides.pdf,//media.digikey.com/Photos/NKK%20Switches%20Photos/AS12CV%5EA.JPG,AS12CV/A-ND,AS12CV/A,NKK Switches,SWITCH SLIDE SPDT 0.4VA 28V,6,0,"4.19000","0","1","Tray","AS","Active","SPDT","Non-Shorting (BBM)","On-On","0.4VA (AC/DC)","28V","28V","Standard","3.80mm","Phosphor Bronze","Gold","Through Hole, Right Angle, Vertical","PC Pin","Epoxy Sealed Terminals"
http://www.ckswitches.com/media/1429/1000.pdf,//media.digikey.com/photos/CK%20Comp%20Photos/1101M2S3AQE2.jpg,CKN5006-ND,1101M2S3AQE2,C&K,SWITCH SLIDE SPDT 6A 120V,1921,0,"4.22000","0","1","Bulk","1000","Active","SPDT","Not Specified","On-On","6A (AC/DC)","120V","28V","Standard","4.72mm","Copper","Silver","Through Hole, Right Angle","PC Pin","Black Actuator, Epoxy Sealed Terminals"
http://www.ckswitches.com/media/1429/1000.pdf,//media.digikey.com/photos/CK%20Comp%20Photos/1101M2S3AV2QE2.jpg,CKN5008-ND,1101M2S3AV2QE2,C&K,SWITCH SLIDE SPDT 6A 120V,557,0,"4.22000","0","1","Bulk","1000","Active","SPDT","Not Specified","On-On","6A (AC/DC)","120V","28V","Standard","4.72mm","Copper","Silver","Through Hole, Right Angle, Vertical","PC Pin","Black Actuator, Epoxy Sealed Terminals"
http://www.ckswitches.com/media/1426/ts.pdf,//media.digikey.com/photos/CK%20Comp%20Photos/TS01CQE.jpg,CKC5123-ND,TS01CQE,C&K,SWITCH SLIDE SPDT 3A 120V,83,0,"4.29000","0","1","Bulk","TS","Active","SPDT","Not Specified","On-On","3A (AC/DC)","120V","28V","Standard","3.10mm","Silver (Ag)","Silver","Through Hole","PC Pin","Epoxy Sealed Terminals"
